"X","SPECIMEN","lat","long","year","ShortMonth","date","res","nmonth","nm","year_nm","long.aea","lat.aea","dem"
181,"UC851893",39.78,-122.208,1935,"oct","16-Oct","nr",10,10,"1935_10",-189012.65704796,198218.607368497,85
182,"UC933913",36.698,-119.556,1947,"jun","1-Jun","nr",6,6,"1947_06",39615.5542854981,-146456.638032338,110
183,"UCD105206",38.588,-121.139,2010,"jul","20-Jul","nr",7,7,"2010_07",-99100.3698847633,64140.0765014859,67
184,"UCD149527",38.61958,-121.28972,2014,"jul","5-Jul","nr",7,7,"2014_07",-112165.472033727,67818.0789026865,26
185,"UCD39274",38.472,-120.839,1953,"jul","29-Jul","nr",7,7,"1953_07",-73113.3392352379,50973.7947339686,344
186,"UCD39276",35.5,-119.269,1949,"jun","7-Jun","nr",6,6,"1949_06",66248.8211592926,-279406.386658351,106
187,"UCD40593",38.276,-121.392,2003,"jul","15-Jul","nr",7,7,"2003_07",-121620.764886393,29755.2689900827,3
188,"UCD50066",38.25,-121.166,1996,"jul","23-Jul","nr",7,7,"1996_07",-101911.501920216,26598.8342348011,29
189,"UCD53902",38.266,-121.427,1993,"sep","18-Sep","nr",9,9,"1993_09",-124695.261290281,28689.2151282025,2
190,"UCD73260",38.65,-121.15,2005,"jun","11-Jun","nr",6,6,"2005_06",-99973.8014007831,71042.8782527922,104
191,"UCD74453",37.3,-120.916,1995,"jul","30-Jul","nr",7,7,"1995_07",-81081.9258381596,-79243.3574796217,20
192,"UCD74559",37.3,-120.916,1995,"oct","15-Oct","nr",10,10,"1995_10",-81081.9258381596,-79243.3574796217,20
